disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,fips,designated_area
2862,TX,FM,2011-02-28T03:12:00Z,Fire,Willow Creek South Fire Complex,0,0,1,0,2011-02-27T05:00:00Z,NA,48375,Potter (County)
2863,TX,FM,2011-02-28T03:25:00Z,Fire,Matador Fire,0,0,1,0,2011-02-27T05:00:00Z,NA,48345,Motley (County)
2864,TX,FM,2011-02-28T03:37:00Z,Fire,Tanglewood Fire Complex,0,0,1,0,2011-02-27T05:00:00Z,NA,48381,Randall (County)
2865,TX,FM,2011-02-28T05:55:00Z,Fire,Mitchell Fire Complex,0,0,1,0,2011-02-27T05:00:00Z,NA,48335,Mitchell (County)
2867,TX,FM,2011-03-12T00:32:00Z,Fire,Enmin Fire,0,0,1,0,2011-03-11T05:00:00Z,2011-03-17T04:00:00Z,48237,Jack (County)
2870,TX,FM,2011-03-12T06:19:00Z,Fire,Big Trickle Ranch Fire,0,0,1,0,2011-03-11T05:00:00Z,2011-03-17T04:00:00Z,48035,Bosque (County)
2870,TX,FM,2011-03-12T06:19:00Z,Fire,Big Trickle Ranch Fire,0,0,1,0,2011-03-11T05:00:00Z,2011-03-17T04:00:00Z,48425,Somervell (County)
2881,TX,FM,2011-04-04T02:39:00Z,Fire,Bates Field Fire,0,0,1,0,2011-04-03T04:00:00Z,2011-04-06T04:00:00Z,48329,Midland (County)
2881,TX,FM,2011-04-04T02:39:00Z,Fire,Bates Field Fire,0,0,1,0,2011-04-03T04:00:00Z,2011-04-06T04:00:00Z,48135,Ector (County)
2882,TX,FM,2011-04-05T06:18:00Z,Fire,El Cenizo Fire,0,0,1,0,2011-04-04T04:00:00Z,2011-04-08T04:00:00Z,48479,Webb (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,0,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55131,Washington (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55101,Racine (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55043,Grant (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55025,Dane (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55079,Milwaukee (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55065,Lafayette (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55059,Kenosha (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55027,Dodge (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55045,Green (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55127,Walworth (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55049,Iowa (County)
2884,TX,FM,2011-04-09T22:00:00Z,Fire,Swenson Fire,0,0,1,0,2011-04-06T04:00:00Z,2011-04-23T04:00:00Z,48275,Knox (County)
2884,TX,FM,2011-04-09T22:00:00Z,Fire,Swenson Fire,0,0,1,0,2011-04-06T04:00:00Z,2011-04-23T04:00:00Z,48269,King (County)
2884,TX,FM,2011-04-09T22:00:00Z,Fire,Swenson Fire,0,0,1,0,2011-04-06T04:00:00Z,2011-04-23T04:00:00Z,48433,Stonewall (County)
2885,TX,FM,2011-04-10T03:12:00Z,Fire,Rockhouse Fire,0,0,1,0,2011-04-09T04:00:00Z,2011-05-15T04:00:00Z,48243,Jeff Davis (County)
2885,TX,FM,2011-04-10T03:12:00Z,Fire,Rockhouse Fire,0,0,1,0,2011-04-09T04:00:00Z,2011-05-15T04:00:00Z,48377,Presidio (County)
2886,TX,FM,2011-04-10T03:14:00Z,Fire,Hickman Fire,0,0,1,0,2011-04-09T04:00:00Z,2011-04-20T04:00:00Z,48329,Midland (County)
2888,TX,FM,2011-04-15T07:02:00Z,Fire,Pk West Fire,0,0,1,0,2011-04-13T04:00:00Z,2011-05-12T04:00:00Z,48363,Palo Pinto (County)
2888,TX,FM,2011-04-15T07:02:00Z,Fire,Pk West Fire,0,0,1,0,2011-04-13T04:00:00Z,2011-05-12T04:00:00Z,48429,Stephens (County)
2888,TX,FM,2011-04-15T07:02:00Z,Fire,Pk West Fire,0,0,1,0,2011-04-13T04:00:00Z,2011-05-12T04:00:00Z,48503,Young (County)
2889,TX,FM,2011-04-15T07:06:00Z,Fire,Cooper Mountain Ranch Fire,0,0,1,0,2011-04-11T04:00:00Z,2011-04-23T04:00:00Z,48433,Stonewall (County)
2889,TX,FM,2011-04-15T07:06:00Z,Fire,Cooper Mountain Ranch Fire,0,0,1,0,2011-04-11T04:00:00Z,2011-04-23T04:00:00Z,48263,Kent (County)
2889,TX,FM,2011-04-15T07:06:00Z,Fire,Cooper Mountain Ranch Fire,0,0,1,0,2011-04-11T04:00:00Z,2011-04-23T04:00:00Z,48151,Fisher (County)
2891,TX,FM,2011-04-16T03:30:00Z,Fire,Wichita Fire Complex,0,0,1,0,2011-04-15T04:00:00Z,2011-04-20T04:00:00Z,48485,Wichita (County)
2892,TX,FM,2011-04-16T03:35:00Z,Fire,Wildcat Fire,0,0,1,0,2011-04-11T04:00:00Z,2011-05-04T04:00:00Z,48451,Tom Green (County)
2892,TX,FM,2011-04-16T03:35:00Z,Fire,Wildcat Fire,0,0,1,0,2011-04-11T04:00:00Z,2011-05-04T04:00:00Z,48081,Coke (County)
2893,TX,FM,2011-04-16T05:25:00Z,Fire,Hohertz Fire,0,0,1,0,2011-04-09T04:00:00Z,2011-05-12T04:00:00Z,48503,Young (County)
2893,TX,FM,2011-04-16T05:25:00Z,Fire,Hohertz Fire,0,0,1,0,2011-04-09T04:00:00Z,2011-05-12T04:00:00Z,48429,Stephens (County)
2893,TX,FM,2011-04-16T05:25:00Z,Fire,Hohertz Fire,0,0,1,0,2011-04-09T04:00:00Z,2011-05-12T04:00:00Z,48363,Palo Pinto (County)
2894,TX,FM,2011-04-16T05:30:00Z,Fire,East Sidwynicks Fire,0,0,1,0,2011-04-15T16:00:00Z,2011-04-18T04:00:00Z,48133,Eastland (County)
2895,TX,FM,2011-04-17T03:40:00Z,Fire,Pk East Fire,0,0,1,0,2011-04-16T04:00:00Z,2011-05-04T04:00:00Z,48503,Young (County)
2895,TX,FM,2011-04-17T03:40:00Z,Fire,Pk East Fire,0,0,1,0,2011-04-16T04:00:00Z,2011-05-04T04:00:00Z,48429,Stephens (County)
2895,TX,FM,2011-04-17T03:40:00Z,Fire,Pk East Fire,0,0,1,0,2011-04-16T04:00:00Z,2011-05-04T04:00:00Z,48363,Palo Pinto (County)
2896,TX,FM,2011-04-17T22:23:00Z,Fire,Bryson Fire Complex,0,0,1,0,2011-04-15T04:00:00Z,2011-04-22T04:00:00Z,48237,Jack (County)
2898,TX,FM,2011-04-18T03:00:00Z,Fire,Pinnacle Fire,0,0,1,0,2011-04-17T04:00:00Z,2011-04-19T04:00:00Z,48453,Travis (County)
1968,CA,DR,2011-04-18T18:00:00Z,Tsunami,Tsunami Waves,0,0,1,1,2011-03-11T09:49:00Z,2011-03-12T04:59:00Z,06053,Monterey (County)
1968,CA,DR,2011-04-18T18:00:00Z,Tsunami,Tsunami Waves,0,0,1,1,2011-03-11T09:49:00Z,2011-03-12T04:59:00Z,06087,Santa Cruz (County)
1968,CA,DR,2011-04-18T18:00:00Z,Tsunami,Tsunami Waves,0,0,1,1,2011-03-11T09:49:00Z,2011-03-12T04:59:00Z,06015,Del Norte (County)
2899,TX,FM,2011-04-21T20:56:00Z,Fire,148/2332 Fire,0,0,1,0,2011-04-14T04:00:00Z,2011-04-17T04:00:00Z,48077,Clay (County)
2901,TX,FM,2011-04-27T04:23:00Z,Fire,Pleasant Farms Fire,0,0,1,0,2011-04-26T04:00:00Z,2011-05-04T04:00:00Z,48135,Ector (County)
2903,TX,FM,2011-04-29T22:05:00Z,Fire,Oasis Pipeline Fire,0,0,1,0,2011-04-26T04:00:00Z,2011-05-14T04:00:00Z,48267,Kimble (County)
2904,TX,FM,2011-04-30T04:35:00Z,Fire,Waggoner Ranch Fire,0,0,1,0,2011-04-29T04:00:00Z,2011-05-01T04:00:00Z,48487,Wilbarger (County)
2905,TX,FM,2011-04-30T04:39:00Z,Fire,Sisk Road Fire,0,0,1,0,2011-04-29T04:00:00Z,2011-05-01T04:00:00Z,48485,Wichita (County)
2905,TX,FM,2011-04-30T04:39:00Z,Fire,Sisk Road Fire,0,0,1,0,2011-04-29T04:00:00Z,2011-05-01T04:00:00Z,48009,Archer (County)
2906,TX,FM,2011-05-09T02:30:00Z,Fire,Gage Holland Fire,0,0,1,0,2011-05-08T04:00:00Z,2011-05-19T04:00:00Z,48043,Brewster (County)
2908,TX,FM,2011-05-10T00:02:00Z,Fire,Matt Loop Fire,0,0,1,0,2011-05-09T04:00:00Z,2011-05-14T04:00:00Z,48227,Howard (County)
2910,TX,FM,2011-05-25T01:50:00Z,Fire,Ceed Fire,0,0,1,0,2011-05-24T04:00:00Z,2011-05-31T04:00:00Z,48329,Midland (County)
2911,TX,FM,2011-05-30T00:03:00Z,Fire,Reimer Fire,0,0,1,0,2011-05-29T04:00:00Z,2011-05-31T04:00:00Z,48233,Hutchinson (County)
2912,TX,FM,2011-05-30T00:08:00Z,Fire,Pitt Road Fire,0,0,1,0,2011-05-29T04:00:00Z,2011-06-01T04:00:00Z,48381,Randall (County)
2913,TX,FM,2011-05-30T01:50:00Z,Fire,Stone Ridge Fire,0,0,1,0,2011-05-29T04:00:00Z,2011-06-01T04:00:00Z,48375,Potter (County)
2914,TX,FM,2011-06-02T20:50:00Z,Fire,Tejano Canyon Fire,0,0,1,0,2011-06-02T04:00:00Z,2011-06-12T04:00:00Z,48243,Jeff Davis (County)
2916,TX,FM,2011-06-04T02:05:00Z,Fire,Snyder Fire,0,0,1,0,2011-06-03T04:00:00Z,2011-06-11T04:00:00Z,48417,Shackelford (County)
2922,TX,FM,2011-06-16T23:00:00Z,Fire,Grand Mesa Fire,0,0,1,0,2011-06-16T04:00:00Z,2011-06-19T04:00:00Z,48453,Travis (County)
2922,TX,FM,2011-06-16T23:00:00Z,Fire,Grand Mesa Fire,0,0,1,0,2011-06-16T04:00:00Z,2011-06-19T04:00:00Z,48491,Williamson (County)
2924,TX,FM,2011-06-18T00:04:00Z,Fire,Forest Brook Fire,0,0,1,0,2011-06-17T04:00:00Z,2011-06-20T04:00:00Z,48201,Harris (County)
2925,TX,FM,2011-06-19T03:44:00Z,Fire,County Line Fire,0,0,1,0,2011-06-18T04:00:00Z,2011-06-20T04:00:00Z,48139,Ellis (County)
2926,TX,FM,2011-06-19T03:50:00Z,Fire,Powerline Fire,0,0,1,0,2011-06-18T04:00:00Z,2011-06-26T04:00:00Z,48241,Jasper (County)
2927,TX,FM,2011-06-20T05:00:00Z,Fire,Dyer Mill Fire,0,0,1,0,2011-06-19T04:00:00Z,2011-07-06T04:00:00Z,48185,Grimes (County)
2928,TX,FM,2011-06-20T05:04:00Z,Fire,Mcdonald 2 Fire,0,0,1,0,2011-06-19T04:00:00Z,2011-06-30T04:00:00Z,48077,Clay (County)
2929,TX,FM,2011-06-20T05:08:00Z,Fire,Cowboy Church Fire,0,0,1,0,2011-06-19T04:00:00Z,2011-06-25T04:00:00Z,48471,Walker (County)
2930,TX,FM,2011-06-21T04:47:00Z,Fire,Boyken Road Fire,0,0,1,0,2011-06-20T04:00:00Z,2011-06-28T04:00:00Z,48227,Howard (County)
2931,TX,FM,2011-06-21T04:53:00Z,Fire,White Hat Fire,0,0,1,0,2011-06-20T04:00:00Z,2011-07-01T04:00:00Z,48353,Nolan (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48287,Lee (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48375,Potter (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48163,Frio (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48429,Stephens (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48329,Midland (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48351,Newton (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48133,Eastland (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48267,Kimble (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48305,Lynn (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48415,Scurry (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48377,Presidio (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48225,Houston (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48343,Morris (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48199,Hardin (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48031,Blanco (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48227,Howard (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48047,Brooks (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48205,Hartley (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48075,Childress (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48129,Donley (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48433,Stonewall (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48079,Cochran (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48115,Dawson (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48243,Jeff Davis (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48131,Duval (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48103,Crane (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48455,Trinity (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48357,Ochiltree (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48099,Coryell (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48211,Hemphill (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48235,Irion (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48237,Jack (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48173,Glasscock (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48263,Kent (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48159,Franklin (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48107,Crosby (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48023,Baylor (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48405,San Augustine (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48483,Wheeler (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48065,Carson (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48083,Coleman (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48335,Mitchell (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48125,Dickens (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48151,Fisher (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48435,Sutton (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48155,Foard (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48503,Young (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48195,Hansford (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48471,Walker (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48337,Montague (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48053,Burnet (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48465,Val Verde (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48289,Leon (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48387,Red River (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48451,Tom Green (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48333,Mills (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48437,Swisher (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48345,Motley (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48417,Shackelford (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48297,Live Oak (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48381,Randall (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48177,Gonzales (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48341,Moore (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48101,Cottle (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48077,Clay (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48067,Cass (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48279,Lamb (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48457,Tyler (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48169,Garza (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48447,Throckmorton (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48207,Haskell (County)
1999,TX,DR,2011-07-01T17:30:00Z,Fire,Wildfires,0,0,1,1,2011-04-06T04:00:00Z,2011-08-29T04:00:00Z,48009,Archer (County)
